RefWBAN,RefDist,RefCity,RefState
54779,72673.26592847974,New York,New York
4781,74721.74989734551,New York,New York
54793,77899.56880026663,New York,New York
14780,80354.12609658169,New York,New York
14792,84884.39682559269,New York,New York
23191,68545.17922511867,Los Angeles,California
3179,71849.49216473137,Los Angeles,California
23182,74146.87490401581,Los Angeles,California
3102,74897.93532917087,Los Angeles,California
93110,75833.50981968215,Los Angeles,California
4808,62603.07864796151,Chicago,Illinois
14880,66057.69658235351,Chicago,Illinois
4867,73050.3515038184,Chicago,Illinois
4846,73739.15664873637,Chicago,Illinois
4880,79997.89841254904,Chicago,Illinois
12976,79534.92690627866,Houston,Texas
12923,84726.00508912842,Houston,Texas
12953,84964.74183864048,Houston,Texas
53928,98193.56759945686,Houston,Texas
12981,102548.54765682908,Houston,Texas
3914,80020.54049046879,Phoenix,Arizona
3148,97261.80842281153,Phoenix,Arizona
374,102629.35400695427,Phoenix,Arizona
93139,102629.35747070772,Phoenix,Arizona
23184,119748.43322509869,Phoenix,Arizona
54782,45656.2156525043,Philadelphia,Pennsylvania
64753,53115.940009078106,Philadelphia,Pennsylvania
13781,55175.348425307464,Philadelphia,Pennsylvania
136,63937.0984895637,Philadelphia,Pennsylvania
14780,65550.21033536435,Philadelphia,Pennsylvania
12961,79820.25059476502,San Antonio,Texas
12979,79836.67992394723,San Antonio,Texas
93947,95086.18962090174,San Antonio,Texas
13904,114953.50124090785,San Antonio,Texas
13958,120355.5935851625,San Antonio,Texas
3164,64016.55741908245,San Diego,California
93184,118459.45592157487,San Diego,California
23119,119742.91871192437,San Diego,California
93138,124619.37473076908,San Diego,California
3104,125587.85712455827,San Diego,California
3985,60960.81539780513,Dallas,Texas
3991,61334.77970917875,Dallas,Texas
13911,67240.67750381085,Dallas,Texas
13926,68154.37715497686,Dallas,Texas
53981,83788.80535671442,Dallas,Texas
392,56697.01240458199,San Jose,California
23230,60005.80694692851,San Jose,California
23234,61077.174105209575,San Jose,California
228,65106.78550229181,San Jose,California
23233,73192.56101088313,San Jose,California
225,64475.51716554805,Austin,Texas
3999,66950.19691638228,Austin,Texas
12971,72550.14826432848,Austin,Texas
53979,75485.36163307619,Austin,Texas
434,76752.64219113579,Austin,Texas
12816,92575.65387368482,Jacksonville,Florida
13878,97806.64757577649,Jacksonville,Florida
53883,103840.67265096867,Jacksonville,Florida
485,107798.09976635281,Jacksonville,Florida
13861,121748.33472296661,Jacksonville,Florida
23244,73308.11468966732,San Francisco,California
23213,80473.93307551576,San Francisco,California
23285,81094.11114720626,San Francisco,California
23293,85287.62007378356,San Francisco,California
23202,88001.73718382204,San Francisco,California
139,56009.15067408244,Columbus,Ohio
4855,70722.03782520161,Columbus,Ohio
63888,74288.15742252387,Columbus,Ohio
324,82338.16499614979,Columbus,Ohio
13840,92022.72181497011,Columbus,Ohio
13803,60264.30162977033,Indianapolis,Indiana
4828,60386.3881429319,Indianapolis,Indiana
3893,80677.4338543559,Indianapolis,Indiana
94895,83247.30867899678,Indianapolis,Indiana
54807,84975.77992593781,Indianapolis,Indiana
53976,63671.36670627439,Fort Worth,Texas
93985,70043.73618197421,Fort Worth,Texas
176,72064.38270778504,Fort Worth,Texas
53970,73364.00809406595,Fort Worth,Texas
53914,79912.2396833574,Fort Worth,Texas
199,54045.292499172516,Charlotte,North Carolina
192,57184.17402287112,Charlotte,North Carolina
63812,57217.61246564679,Charlotte,North Carolina
63816,63395.411000266926,Charlotte,North Carolina
63824,66934.65486452382,Charlotte,North Carolina
94274,41663.04878309444,Seattle,Washington
24207,52360.2807649122,Seattle,Washington
24201,61231.92347637694,Seattle,Washington
4205,63148.308769718045,Seattle,Washington
94297,71229.70859033173,Seattle,Washington
3040,63861.1899839582,Denver,Colorado
24051,77273.66722525592,Denver,Colorado
94035,77536.01976360958,Denver,Colorado
419,78121.18798408516,Denver,Colorado
93065,88688.99013290471,Denver,Colorado
93041,70495.1715010718,El Paso,Texas
23002,119350.75121203909,El Paso,Texas
93097,121352.71369252594,El Paso,Texas
23078,132754.95789632274,El Paso,Texas
23055,152444.72560846072,El Paso,Texas
93721,42232.56027689892,Washington,District Of Columbia
3710,47172.15157241924,Washington,District Of Columbia
13773,50251.80275159714,Washington,District Of Columbia
3714,51155.66137879599,Washington,District Of Columbia
93784,55504.19853756654,Washington,District Of Columbia
94723,46195.65256974295,Boston,Massachusetts
54777,48642.29494840743,Boston,Massachusetts
54769,50006.63207201486,Boston,Massachusetts
64710,59528.2864139428,Boston,Massachusetts
54754,67440.72187428194,Boston,Massachusetts
54823,53688.0015359346,Detroit,Michigan
94889,54987.33056165134,Detroit,Michigan
4888,77863.83038211837,Detroit,Michigan
4887,78867.42225519543,Detroit,Michigan
298,80688.01769978371,Detroit,Michigan
3894,74624.2575500431,Nashville,Tennessee
463,78956.40297233583,Nashville,Tennessee
13806,82585.28338444482,Nashville,Tennessee
93808,92879.78894078791,Nashville,Tennessee
348,102143.84772049032,Nashville,Tennessee
23903,60522.24833714272,Memphis,Tennessee
53869,91125.77112012559,Memphis,Tennessee
53806,91990.3744711495,Memphis,Tennessee
13814,93146.89670288314,Memphis,Tennessee
3953,99140.85311579161,Memphis,Tennessee
94273,53829.8561818774,Portland,Oregon
94204,62306.007654436544,Portland,Oregon
24223,66492.57582113998,Portland,Oregon
24232,75829.51044209074,Portland,Oregon
118,91846.81245780327,Portland,Oregon
53936,65395.517806039556,Oklahoma City,Oklahoma
23902,76504.53533749745,Oklahoma City,Oklahoma
53993,82246.07472660208,Oklahoma City,Oklahoma
3965,83091.91278422772,Oklahoma City,Oklahoma
53951,89090.93964562805,Oklahoma City,Oklahoma
269,48238.23249622327,Las Vegas,Nevada
23141,53696.11441771532,Las Vegas,Nevada
3160,81391.03355349632,Las Vegas,Nevada
53135,136870.3123513585,Las Vegas,Nevada
93167,161702.38542485933,Las Vegas,Nevada
53841,67581.6118666393,Louisville,Kentucky
93820,95170.98467089042,Louisville,Kentucky
144,104634.24513271931,Louisville,Kentucky
53896,111912.82975769223,Louisville,Kentucky
13803,121389.76151991426,Louisville,Kentucky
3724,49126.62305816082,Baltimore,Maryland
93764,49930.450001116755,Baltimore,Maryland
13705,57396.83021053356,Baltimore,Maryland
13743,60959.1465331588,Baltimore,Maryland
13730,67454.26718790276,Baltimore,Maryland
4866,49293.70309679148,Milwaukee,Wisconsin
4845,51587.6605205681,Milwaukee,Wisconsin
54834,62320.94043140051,Milwaukee,Wisconsin
14880,71649.84738222802,Milwaukee,Wisconsin
4898,72355.60792604655,Milwaukee,Wisconsin
23049,80087.83287731359,Albuquerque,New Mexico
3027,92919.21222890368,Albuquerque,New Mexico
3014,93033.41746011112,Albuquerque,New Mexico
93091,96100.03522815257,Albuquerque,New Mexico
93057,111937.64984044066,Albuquerque,New Mexico
53146,74883.29856657457,Tucson,Arizona
3124,81326.07228509818,Tucson,Arizona
3196,81950.17620558456,Tucson,Arizona
3914,121132.85994744032,Tucson,Arizona
93084,140721.59336704065,Tucson,Arizona
93242,45880.3403149408,Fresno,California
53119,46292.99667128402,Fresno,California
23110,49121.455496099785,Fresno,California
93144,53854.95523705673,Fresno,California
23257,94416.23232295827,Fresno,California
93241,47818.450208429946,Sacramento,California
23202,52456.080790045795,Sacramento,California
23224,54831.72503974234,Sacramento,California
93205,60703.77662019656,Sacramento,California
93216,63761.73258168395,Sacramento,California
53128,27637.731467789785,Mesa,Arizona
3192,36273.83902020694,Mesa,Arizona
23183,38227.577220081555,Mesa,Arizona
3184,53482.79954951559,Mesa,Arizona
3914,56362.11441069545,Mesa,Arizona
363,75412.27000800472,Kansas City,Missouri
13993,81407.5225912876,Kansas City,Missouri
13996,90754.47533785384,Kansas City,Missouri
13920,95499.27312925887,Kansas City,Missouri
13930,97979.12340407698,Kansas City,Missouri
53819,47884.26706809382,Atlanta,Georgia
63803,48637.91260097889,Atlanta,Georgia
252,50779.62994969301,Atlanta,Georgia
53873,55995.736051978325,Atlanta,Georgia
53884,60139.22281430159,Atlanta,Georgia
23191,48879.56499611567,Long Beach,California
3180,48885.71032640921,Long Beach,California
23152,49492.421951888995,Long Beach,California
93136,49925.754771302025,Long Beach,California
3179,52517.3602641804,Long Beach,California
422,68102.80697901832,Colorado Springs,Colorado
93058,69124.11381954167,Colorado Springs,Colorado
93067,77690.10762405024,Colorado Springs,Colorado
23036,93162.9042807212,Colorado Springs,Colorado
93010,97912.71885636178,Colorado Springs,Colorado
3723,50236.68721382565,Raleigh,North Carolina
3712,51969.912044549215,Raleigh,North Carolina
3722,58161.87377801225,Raleigh,North Carolina
3711,58972.681864586746,Raleigh,North Carolina
93759,67854.56669292408,Raleigh,North Carolina
12885,46516.94213921379,Miami,Florida
92805,53444.87964773746,Miami,Florida
12803,67419.8315219993,Miami,Florida
12844,101282.69717723122,Miami,Florida
12896,143836.6092183652,Miami,Florida
3737,50693.389318405265,Virginia Beach,Virginia
93741,55390.11223256965,Virginia Beach,Virginia
